,Player,Tm,Age,2021 Games,2021 GS,2021 Tgt,2021 Rec,2021 RushingYds,2021 RushingTD,2021 RushingAtt,2021 ReceivingYds,2021 ReceivingTD,2021 FantasyPoints,2019 Games,2019 GS,2019 Tgt,2019 Rec,2019 RushingYds,2019 RushingTD,2019 RushingAtt,2019 ReceivingYds,2019 ReceivingTD,2019 FantasyPoints,2020 Games,2020 GS,2020 Tgt,2020 Rec,2020 RushingYds,2020 RushingTD,2020 RushingAtt,2020 ReceivingYds,2020 ReceivingTD,2020 FantasyPoints,Usage19,Touchdowns19,TotYdsScrm19,Production19,Usage20,Touchdowns20,TotYdsScrm20,Production20,Usage21,Touchdowns21,TotYdsScrm21,Production21,Average Total Usage,Average Total Yards,Average Total Production
121,Isaiah Ford,MIA,23.0,8.0,0.0,35.0,23.0,11.0,0.0,1.0,244.0,0.0,48.5,10,1,44.0,28.0,0.0,0.0,0.0,276.0,0.0,28.0,13.0,2.0,17.0,12.0,0.0,0.0,0.0,161.0,2.0,28.0,7.2,0.0,276.0,38.333333333333336,2.230769230769231,2.0,161.0,73.06896551724138,7.25,0.0,255.0,35.172413793103445,5.56025641025641,230.66666666666666,48.85823754789271
122,Deonte Harris,NOR,22.0,14.0,1.0,6.0,6.0,31.0,0.0,4.0,24.0,0.0,9.5,9,2,25.0,20.0,51.0,0.0,6.0,186.0,1.0,28.0,13.0,1.0,59.0,36.0,41.0,0.0,5.0,570.0,3.0,77.0,5.0,1.0,237.0,47.6,7.3076923076923075,3.0,611.0,84.02105263157895,0.8571428571428571,0.0,55.0,64.16666666666667,4.388278388278388,301.0,65.2625730994152
123,Dontrelle Inman,2TM,30.0,7.0,1.0,21.0,12.0,0.0,0.0,0.0,181.0,0.0,30.1,10,2,28.0,18.0,0.0,0.0,0.0,163.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,2.0,163.0,35.869565217391305,0.0,0.0,0.0,0.0,4.714285714285714,0.0,181.0,38.39393939393939,3.1047619047619044,114.66666666666667,24.75450153711023
124,Van Jefferson,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,31.0,19.0,-1.0,0.0,1.0,220.0,1.0,28.0,17.0,17.0,89.0,50.0,20.0,0.0,2.0,802.0,6.0,118.0,3.125,1.0,219.0,70.4,8.176470588235293,6.0,822.0,101.26618705035972,0.0,0.0,0.0,0.0,3.767156862745098,347.0,57.222062350119906
125,Byron Pringle,KAN,26.0,16.0,0.0,16.0,12.0,0.0,0.0,0.0,170.0,1.0,35.0,13,3,17.0,13.0,0.0,0.0,0.0,160.0,1.0,28.0,17.0,5.0,60.0,42.0,0.0,0.0,0.0,568.0,5.0,85.0,2.3076923076923075,1.0,160.0,69.76666666666668,6.0,5.0,568.0,95.5,1.75,1.0,170.0,97.71428571428571,3.352564102564102,299.3333333333333,87.66031746031746
126,Freddie Swain,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,21.0,13.0,0.0,0.0,0.0,159.0,2.0,28.0,17.0,8.0,40.0,25.0,32.0,0.0,5.0,343.0,4.0,62.0,2.125,2.0,159.0,75.76470588235294,3.823529411764706,4.0,375.0,99.12307692307692,0.0,0.0,0.0,0.0,1.9828431372549022,178.0,58.29592760180996
127,Mohamed Sanu,2TM,30.0,15.0,12.0,89.0,59.0,11.0,0.0,3.0,520.0,2.0,124.1,10,4,24.0,17.0,3.0,0.0,1.0,187.0,1.0,27.0,8.0,0.0,24.0,15.0,0.0,0.0,0.0,177.0,0.0,18.0,4.1,1.0,190.0,46.58536585365854,4.875,0.0,177.0,36.30769230769231,9.866666666666667,2.0,531.0,54.02027027027027,6.280555555555556,299.3333333333333,45.6377761438737
128,Marcus Johnson,IND,25.0,8.0,6.0,33.0,17.0,0.0,0.0,0.0,277.0,2.0,56.7,11,3,28.0,14.0,0.0,0.0,0.0,255.0,0.0,26.0,7.0,3.0,19.0,9.0,-2.0,0.0,2.0,160.0,0.0,16.0,3.8181818181818183,0.0,255.0,66.78571428571428,4.0,0.0,158.0,39.5,6.25,2.0,277.0,44.64,4.6893939393939394,230.0,50.30857142857142
129,Bryan Edwards,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3,15.0,11.0,0.0,0.0,0.0,193.0,1.0,25.0,16.0,12.0,59.0,34.0,0.0,0.0,1.0,571.0,3.0,75.0,2.1666666666666665,1.0,193.0,89.53846153846155,5.8125,3.0,571.0,98.75268817204301,0.0,0.0,0.0,0.0,2.659722222222222,254.66666666666666,62.763716570168185
130,Zay Jones,2TM,24.0,15.0,9.0,45.0,27.0,3.0,0.0,1.0,216.0,0.0,48.9,16,2,20.0,14.0,0.0,0.0,0.0,154.0,1.0,23.0,17.0,9.0,70.0,47.0,3.0,0.0,2.0,546.0,1.0,59.0,2.125,1.0,154.0,72.94117647058823,6.882352941176471,1.0,549.0,79.91452991452991,4.8,0.0,219.0,45.625,4.602450980392157,307.3333333333333,66.16023546170605
