,Player,2021 Tm,2021 RushingYds,Touchdowns21,2021 Fantasy Points,Pos,AVG
19,Kenny Pickett,PIT,1559,9.2,102.4,QB,20
23,Malik Willis,TEN,188.7,1,12.1,QB,24
27,Desmond Ridder,ATL,1189.8,6.2,80.5,QB,28
40,Sam Howell,WAS,109.2,0.8,8.1,QB,41
